SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,FG2M,FG2A,FG2_PTS,FG3_PTS,FRAC_ATT_2PT,FRAC_ATT_3PT,FRAC_MK_2PT,FRAC_MK_3PT,FRAC_PTS_2PT,FRAC_PTS_3PT,FRAC_PTS_FT,OPP_TEAM_ABBR,OPP_PTS,MONTH,YEAR,HOME_AWAY,CONFERENCE,OPP_CONFERENCE,DATE_MATCHUP
22025,1610612763,MEM,Memphis Grizzlies,0022500103,2025-10-25,MEM vs. IND,W,240,44,97,0.454,15,39,0.385,25,32,0.781,10,39,49,31,6,4,6,22,128,25,1,29,58,58,45,0.5979381443298969,0.4020618556701031,0.6590909090909091,0.3409090909090909,0.453125,0.3515625,0.1953125,IND,103,10,2025,HOME,WEST,EAST,10-25 vs. IND
22025,1610612753,ORL,Orlando Magic,0022500100,2025-10-25,ORL vs. CHI,L,240,34,87,0.391,3,24,0.125,27,33,0.818,15,38,53,12,8,5,20,25,98,-12,1,31,63,62,9,0.7241379310344828,0.27586206896551724,0.9117647058823529,0.08823529411764706,0.6326530612244898,0.09183673469387756,0.2755102040816326,CHI,110,10,2025,HOME,EAST,EAST,10-25 vs. CHI
22025,1610612754,IND,Indiana Pacers,0022500103,2025-10-25,IND @ MEM,L,240,36,89,0.404,14,40,0.35,17,23,0.739,11,33,44,25,2,5,13,21,103,-25,1,22,49,44,42,0.550561797752809,0.449438202247191,0.6111111111111112,0.3888888888888889,0.42718446601941745,0.4077669902912621,0.1650485436893204,MEM,128,10,2025,AWAY,EAST,WEST,10-25 @ MEM
22025,1610612760,OKC,Oklahoma City Thunder,0022500101,2025-10-25,OKC @ ATL,W,240,43,93,0.462,14,37,0.378,17,19,0.895,15,35,50,21,13,3,13,19,117,17,1,29,56,58,42,0.6021505376344086,0.3978494623655914,0.6744186046511628,0.32558139534883723,0.49572649572649574,0.358974358974359,0.1452991452991453,ATL,100,10,2025,AWAY,WEST,EAST,10-25 @ ATL
22025,1610612756,PHX,Phoenix Suns,0022500104,2025-10-25,PHX @ DEN,L,240,38,88,0.432,17,50,0.34,18,22,0.818,12,26,38,24,7,4,20,29,111,-22,1,21,38,42,51,0.4318181818181818,0.5681818181818182,0.5526315789473685,0.4473684210526316,0.3783783783783784,0.4594594594594595,0.16216216216216217,DEN,133,10,2025,AWAY,WEST,WEST,10-25 @ DEN
22025,1610612737,ATL,Atlanta Hawks,0022500101,2025-10-25,ATL vs. OKC,L,240,35,85,0.412,16,39,0.41,14,21,0.667,15,31,46,25,7,5,17,23,100,-17,1,19,46,38,48,0.5411764705882353,0.4588235294117647,0.5428571428571428,0.45714285714285713,0.38,0.48,0.14,OKC,117,10,2025,HOME,EAST,WEST,10-25 vs. OKC
22025,1610612743,DEN,Denver Nuggets,0022500104,2025-10-25,DEN vs. PHX,W,240,43,84,0.512,9,31,0.29,38,42,0.905,11,32,43,31,14,1,16,23,133,22,1,34,53,68,27,0.6309523809523809,0.36904761904761907,0.7906976744186046,0.20930232558139536,0.5112781954887218,0.20300751879699247,0.2857142857142857,PHX,111,10,2025,HOME,WEST,WEST,10-25 vs. PHX
22025,1610612766,CHA,Charlotte Hornets,0022500102,2025-10-25,CHA @ PHI,L,240,43,89,0.483,16,42,0.381,19,28,0.679,13,32,45,30,6,3,17,26,121,-4,1,27,47,54,48,0.5280898876404494,0.47191011235955055,0.627906976744186,0.37209302325581395,0.4462809917355372,0.39669421487603307,0.15702479338842976,PHI,125,10,2025,AWAY,EAST,EAST,10-25 @ PHI
22025,1610612755,PHI,Philadelphia 76ers,0022500102,2025-10-25,PHI vs. CHA,W,240,41,87,0.471,18,39,0.462,25,32,0.781,11,29,40,29,10,5,15,25,125,4,1,23,48,46,54,0.5517241379310345,0.4482758620689655,0.5609756097560976,0.43902439024390244,0.368,0.432,0.2,CHA,121,10,2025,HOME,EAST,EAST,10-25 vs. CHA
22025,1610612739,CLE,Cleveland Cavaliers,0022500107,2025-10-26,CLE vs. MIL,W,240,39,87,0.448,12,40,0.3,28,35,0.8,10,34,44,23,10,2,17,23,118,5,1,27,47,54,36,0.5402298850574713,0.45977011494252873,0.6923076923076923,0.3076923076923077,0.4576271186440678,0.3050847457627119,0.23728813559322035,MIL,113,10,2025,HOME,EAST,EAST,10-26 vs. MIL
22025,1610612754,IND,Indiana Pacers,0022500110,2025-10-26,IND @ MIN,L,240,39,91,0.429,14,40,0.35,18,27,0.667,16,33,49,24,7,5,17,27,110,-4,1,25,51,50,42,0.5604395604395604,0.43956043956043955,0.6410256410256411,0.358974358974359,0.45454545454545453,0.38181818181818183,0.16363636363636364,MIN,114,10,2025,AWAY,EAST,WEST,10-26 @ MIN
22025,1610612761,TOR,Toronto Raptors,0022500111,2025-10-26,TOR @ DAL,L,240,49,100,0.49,13,33,0.394,18,24,0.75,14,29,43,33,10,1,16,28,129,-10,1,36,67,72,39,0.67,0.33,0.7346938775510204,0.2653061224489796,0.5581395348837209,0.3023255813953488,0.13953488372093023,DAL,139,10,2025,AWAY,EAST,WEST,10-26 @ DAL
22025,1610612752,NYK,New York Knicks,0022500108,2025-10-26,NYK @ MIA,L,240,38,98,0.388,15,54,0.278,16,21,0.762,16,36,52,23,9,3,16,24,107,-8,1,23,44,46,45,0.4489795918367347,0.5510204081632653,0.6052631578947368,0.39473684210526316,0.42990654205607476,0.4205607476635514,0.14953271028037382,MIA,115,10,2025,AWAY,EAST,EAST,10-26 @ MIA
